"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21","69.280","74.480","74.920","68.500","3.37M","-7.44%"
"Dec 20","74.850","70.000","80.060","70.000","7.24M","6.84%"
"Nov 20","70.060","67.580","70.660","64.380","4.90M","5.48%"
"Oct 20","66.420","69.930","70.900","64.630","3.36M","-5.15%"
"Sep 20","70.030","68.430","72.300","67.240","3.76M","2.34%"
"Aug 20","68.430","66.500","71.780","64.130","3.72M","3.40%"
"Jul 20","66.180","66.620","69.580","63.400","3.96M","-1.34%"
"Jun 20","67.080","68.010","70.600","64.950","4.94M","-0.71%"
"May 20","67.560","70.370","71.480","65.400","6.14M","-3.39%"
"Apr 20","69.930","66.830","72.000","60.010","4.65M","3.63%"
"Mar 20","67.480","70.350","73.100","56.980","8.00M","-4.22%"
"Feb 20","70.450","75.610","76.410","67.670","7.54M","-7.05%"
"Jan 20","75.790","81.980","82.710","74.250","15.05M","-6.93%"
"Dec 19","81.430","85.000","85.000","78.660","6.01M","-3.85%"
"Nov 19","84.690","87.040","87.990","79.070","13.00M","-1.96%"
"Oct 19","86.380","86.990","88.580","81.100","4.31M","-0.55%"
"Sep 19","86.860","91.650","93.700","83.940","3.76M","-5.23%"
"Aug 19","91.650","85.790","92.690","80.160","4.65M","5.71%"
"Jul 19","86.700","80.500","86.970","79.470","8.33M","7.84%"
"Jun 19","80.400","86.000","86.150","79.330","10.02M","-6.78%"
"May 19","86.250","77.810","88.000","76.450","9.00M","11.03%"
"Apr 19","77.680","74.700","79.070","70.470","8.43M","4.14%"
"Mar 19","74.590","73.800","75.980","69.900","6.64M","-0.33%"
"Feb 19","74.840","73.630","77.020","70.910","7.94M","2.09%"
"Jan 19","73.310","65.550","74.890","64.120","6.79M","13.62%"
"Dec 18","64.520","73.000","73.400","62.790","4.82M","-9.00%"
"Nov 18","70.900","74.550","75.830","65.360","7.13M","-4.84%"
"Oct 18","74.510","84.410","88.000","73.430","6.51M","-11.32%"
"Sep 18","84.020","92.900","93.990","82.830","4.51M","-9.08%"
"Aug 18","92.410","93.500","95.000","89.660","8.47M","-0.05%"
"Jul 18","92.460","95.900","102.160","91.500","4.56M","-3.37%"
"Jun 18","95.680","92.000","98.200","89.600","5.10M","5.03%"
"May 18","91.100","95.570","98.330","89.550","4.31M","-5.45%"
"Apr 18","96.350","95.300","99.450","91.970","5.44M","1.10%"
"Mar 18","95.300","92.000","97.490","90.140","4.58M","3.97%"
"Feb 18","91.660","96.580","96.580","88.200","5.62M","-4.17%"
"Jan 18","95.650","92.890","98.500","92.580","5.04M","2.17%"
"Dec 17","93.620","90.200","98.000","88.000","2.90M","3.16%"
"Nov 17","90.750","94.000","95.820","87.190","4.52M","-3.61%"
"Oct 17","94.150","102.000","103.000","92.930","8.82M","-7.27%"
"Sep 17","101.530","94.600","102.000","92.510","3.42M","7.00%"
"Aug 17","94.890","87.320","96.360","87.320","4.71M","6.91%"
"Jul 17","88.760","86.300","91.100","84.720","4.47M","2.33%"
"Jun 17","86.740","84.570","86.890","83.950","4.87M","1.71%"
"May 17","85.280","84.970","87.150","83.070","6.89M","1.50%"
"Apr 17","84.020","85.000","86.660","81.470","2.95M","-1.12%"
"Mar 17","84.970","80.490","86.400","79.450","5.66M","6.11%"
"Feb 17","80.080","80.950","83.630","79.050","4.77M","-1.11%"
"Jan 17","80.980","84.750","88.950","79.000","8.56M","-4.45%"